SK Size,PK Size,Key Gen Time,Sign Size,Sign Time,Verify Time,Name
64,32,0.1388857364654541,9248.0,3.0377490520477295,0.010944128036499023,SPHINCS+ 128S
64,32,0.015954971313476562,15824.0,0.5681390762329102,0.021508216857910156,SPHINCS+ 128F
96,48,0.09661579132080078,19800.0,9.841902732849121,0.01595592498779297,SPHINCS+ 192S
96,48,0.029433250427246094,34440.0,0.8779463768005371,0.03238630294799805,SPHINCS+ 192F
128,64,0.2623474597930908,34848.0,9.221600532531738,0.020449399948120117,SPHINCS+ 256S
128,64,0.06486129760742188,48352.0,1.7606117725372314,0.02991962432861328,SPHINCS+ 256F
64,32,0.6088402271270752,,,,SPHINCS+C1 128S
64,32,0.01695728302001953,14687.0,0.6473438739776611,0.023934364318847656,SPHINCS+C1 128F
96,48,0.44687342643737793,,,,SPHINCS+C1 192S
96,48,0.024932861328125,32719.0,0.9741723537445068,0.031913042068481445,SPHINCS+C1 192F
128,64,0.6654083728790283,,,,SPHINCS+C1 256S
128,64,0.0713648796081543,46493.0,1.9795966148376465,0.03290915489196777,SPHINCS+C1 256F
64,32,0.527101993560791,,,,SPHINCS+C2 128S
64,32,0.014960050582885742,13681.0,0.6582150459289551,0.019946575164794922,SPHINCS+C2 128F
96,48,0.3906559944152832,,,,SPHINCS+C2 192S
96,48,0.023935556411743164,31214.0,1.0345311164855957,0.030917882919311523,SPHINCS+C2 192F
128,64,0.6284003257751465,,,,SPHINCS+C2 256S
128,64,0.06633996963500977,44958.0,2.033421039581299,0.03341507911682129,SPHINCS+C2 256F
64,32,0.462719202041626,,,,SPHINCS+C3 128S
64,32,0.013930559158325195,12681.0,1.0261898040771484,0.01795053482055664,SPHINCS+C3 128F
96,48,0.358734130859375,,,,SPHINCS+C3 192S
96,48,0.021944046020507812,29706.0,1.579023838043213,0.03143000602722168,SPHINCS+C3 192F
128,64,0.6435537338256836,,,,SPHINCS+C3 256S
128,64,0.061801910400390625,43421.0,2.029174327850342,0.02991962432861328,SPHINCS+C3 256F
64,32,0.4020204544067383,,,,SPHINCS+C4 128S
64,32,0.013218164443969727,11680.0,9.137256860733032,0.023937225341796875,SPHINCS+C4 128F
96,48,0.33965015411376953,,,,SPHINCS+C4 192S
96,48,0.02340531349182129,28198.0,3.378636360168457,0.02892613410949707,SPHINCS+C4 192F
128,64,0.5683562755584717,,,,SPHINCS+C4 256S
128,64,0.06083559989929199,41890.0,2.5741145610809326,0.028922319412231445,SPHINCS+C4 256F
