SK Size,PK Size,Key Gen Time,Sign Size,Sign Time,Verify Time,Name
64,32,0.14072322845458984,9248,3.083434581756592,0.011537313461303711,SPHINCS+ 128S
64,32,0.01699066162109375,15824,0.5888152122497559,0.01991558074951172,SPHINCS+ 128F
96,48,0.10632681846618652,19800,10.01971697807312,0.01795029640197754,SPHINCS+ 192S
96,48,0.024932146072387695,34440,0.8715457916259766,0.030915260314941406,SPHINCS+ 192F
128,64,0.27111053466796875,34848,9.742208242416382,0.021910667419433594,SPHINCS+ 256S
128,64,0.07032370567321777,48352,1.8279550075531006,0.033440589904785156,SPHINCS+ 256F
64,32,0.6411118507385254,6245,196.9744737148285,0.10633158683776855,SPHINCS+C1 128S
64,32,0.018613815307617188,14688,0.7321135997772217,0.023936033248901367,SPHINCS+C1 128F
96,48,0.473555326461792,13381,239.0016655921936,0.15647006034851074,SPHINCS+C1 192S
96,48,0.028427600860595703,32725,1.114994764328003,0.035871267318725586,SPHINCS+C1 192F
128,64,0.7312114238739014,25957,295.1341915130615,0.1231842041015625,SPHINCS+C1 256S
128,64,0.07530832290649414,46497,2.2802815437316895,0.035929203033447266,SPHINCS+C1 256F
64,32,0.5677745342254639,5893,191.9124300479889,0.10024309158325195,SPHINCS+C2 128S
64,32,0.017534255981445312,13683,0.7528989315032959,0.02193927764892578,SPHINCS+C2 128F
96,48,0.46153688430786133,12853,238.59824562072754,0.1531693935394287,SPHINCS+C2 192S
96,48,0.026928424835205078,31214,1.0841662883758545,0.03494548797607422,SPHINCS+C2 192F
128,64,0.717688798904419,25253,289.39307260513306,0.11684632301330566,SPHINCS+C2 256S
128,64,0.07239341735839844,44956,2.067417860031128,0.03391122817993164,SPHINCS+C2 256F
64,32,0.49854540824890137,5541,188.47698593139648,0.0819234848022461,SPHINCS+C3 128S
64,32,0.014957427978515625,12682,0.989905595779419,0.019534826278686523,SPHINCS+C3 128F
96,48,0.40206360816955566,12325,232.22229075431824,0.1332838535308838,SPHINCS+C3 192S
96,48,0.02440619468688965,29707,1.4094910621643066,0.030404329299926758,SPHINCS+C3 192F
128,64,0.6616721153259277,24549,280.6435091495514,0.11121273040771484,SPHINCS+C3 256S
128,64,0.06832742691040039,43422,2.0932729244232178,0.03387737274169922,SPHINCS+C3 256F
64,32,0.4330918788909912,5189,181.7552559375763,0.07116866111755371,SPHINCS+C4 128S
64,32,0.013278961181640625,11679,7.2455785274505615,0.019411802291870117,SPHINCS+C4 128F
96,48,0.368314266204834,11797,226.68283939361572,0.12218403816223145,SPHINCS+C4 192S
96,48,0.023449420928955078,28196,2.5987181663513184,0.02888965606689453,SPHINCS+C4 192F
128,64,0.6290755271911621,23845,275.9786374568939,0.10319805145263672,SPHINCS+C4 256S
128,64,0.06450057029724121,41891,2.6764605045318604,0.03241610527038574,SPHINCS+C4 256F
