SK Size,PK Size,Key Gen Time,Sign Size,Sign Time,Verify Time,Name
64,32,0.13295960426330566,9248,3.0021023750305176,0.011712074279785156,SPHINCS+ 128S
64,32,0.017049789428710938,15824,0.5619292259216309,0.02091240882873535,SPHINCS+ 128F
96,48,0.09693503379821777,19800,9.917235612869263,0.015957355499267578,SPHINCS+ 192S
96,48,0.02596282958984375,34440,0.8364989757537842,0.031026124954223633,SPHINCS+ 192F
128,64,0.2644829750061035,34848,12.428759813308716,0.020910024642944336,SPHINCS+ 256S
128,64,0.06376290321350098,48352,1.8441650867462158,0.032631635665893555,SPHINCS+ 256F
64,32,0.5937469005584717,6245,206.79623413085938,0.04239702224731445,SPHINCS+C1 128S
64,32,0.01795196533203125,14690,0.7110366821289062,0.020034074783325195,SPHINCS+C1 128F
96,48,0.42069101333618164,13381,244.95876455307007,0.07641172409057617,SPHINCS+C1 192S
96,48,0.025930404663085938,32723,1.0408391952514648,0.030675888061523438,SPHINCS+C1 192F
128,64,0.661414623260498,25957,296.0179283618927,0.060356855392456055,SPHINCS+C1 256S
128,64,0.06824874877929688,46492,2.0301008224487305,0.03390932083129883,SPHINCS+C1 256F
64,32,0.5201137065887451,5893,193.45364952087402,0.035912275314331055,SPHINCS+C2 128S
64,32,0.014950752258300781,13684,0.662940502166748,0.01901531219482422,SPHINCS+C2 128F
96,48,0.380023717880249,12853,238.57949662208557,0.06839394569396973,SPHINCS+C2 192S
96,48,0.022970199584960938,31212,1.029719352722168,0.0314936637878418,SPHINCS+C2 192F
128,64,0.6142003536224365,25253,290.2669153213501,0.05431509017944336,SPHINCS+C2 256S
128,64,0.06488847732543945,44954,1.8607919216156006,0.031495094299316406,SPHINCS+C2 256F
64,32,0.4485206604003906,5541,187.40827989578247,0.041890621185302734,SPHINCS+C3 128S
64,32,0.013960123062133789,12682,1.1491868495941162,0.017955780029296875,SPHINCS+C3 128F
96,48,0.3548614978790283,12325,232.29890871047974,0.057359933853149414,SPHINCS+C3 192S
96,48,0.022938251495361328,29708,1.340756893157959,0.02843475341796875,SPHINCS+C3 192F
128,64,0.5874669551849365,24536,12.923929929733276,0.05539584159851074,SPHINCS+C3 256S
128,64,0.06143999099731445,43425,2.0094308853149414,0.028890371322631836,SPHINCS+C3 256F
64,32,0.385422945022583,5189,183.04602551460266,0.03342270851135254,SPHINCS+C4 128S
64,32,0.011967897415161133,11679,9.739950895309448,0.016953468322753906,SPHINCS+C4 128F
96,48,0.33695173263549805,11797,228.0733036994934,0.053369760513305664,SPHINCS+C4 192S
96,48,0.019945859909057617,28198,3.074014186859131,0.025960922241210938,SPHINCS+C4 192F
128,64,0.560330867767334,23845,280.0833511352539,0.05581784248352051,SPHINCS+C4 256S
128,64,0.05949139595031738,41890,2.797746419906616,0.02891707420349121,SPHINCS+C4 256F
