SK Size,PK Size,Key Gen Time,Sign Size,Sign Time,Verify Time,Name
64,32,0.18102478981018066,9248,3.768603801727295,0.012967586517333984,SPHINCS+ 128S
64,32,0.019968032836914062,15824,0.9319336414337158,0.10956621170043945,SPHINCS+ 128F
96,48,0.49523329734802246,19800,12.129140138626099,0.019946575164794922,SPHINCS+ 192S
96,48,0.02896857261657715,34440,0.9321634769439697,0.03387641906738281,SPHINCS+ 192F
128,64,0.29482102394104004,34848,9.937060832977295,0.023934364318847656,SPHINCS+ 256S
128,64,0.07392644882202148,48352,1.9426589012145996,0.03554248809814453,SPHINCS+ 256F
64,32,0.6917963027954102,6245,199.67185926437378,0.11281681060791016,SPHINCS+C1 128S
64,32,0.02023005485534668,14685,0.6913442611694336,0.026690959930419922,SPHINCS+C1 128F
96,48,0.5071225166320801,13381,245.22271132469177,0.17270445823669434,SPHINCS+C1 192S
96,48,0.029952049255371094,32719,1.0803327560424805,0.03805232048034668,SPHINCS+C1 192F
128,64,0.784740686416626,25957,294.52001452445984,0.13112783432006836,SPHINCS+C1 256S
128,64,0.08219003677368164,46488,2.165996789932251,0.03937196731567383,SPHINCS+C1 256F
64,32,0.6175951957702637,5893,194.37161827087402,0.1003563404083252,SPHINCS+C2 128S
64,32,0.0199429988861084,13681,0.7269032001495361,0.02297210693359375,SPHINCS+C2 128F
96,48,0.4642505645751953,12853,241.00197291374207,0.1604628562927246,SPHINCS+C2 192S
96,48,0.02840280532836914,31215,1.163994550704956,0.034871578216552734,SPHINCS+C2 192F
128,64,0.7425165176391602,25253,289.5042779445648,0.1232762336730957,SPHINCS+C2 256S
128,64,0.08038496971130371,44957,2.2176756858825684,0.03593873977661133,SPHINCS+C2 256F
64,32,0.5460805892944336,5541,191.52107286453247,0.09065794944763184,SPHINCS+C3 128S
64,32,0.016954660415649414,12678,1.129796028137207,0.02290797233581543,SPHINCS+C3 128F
96,48,0.49770116806030273,12325,240.3054006099701,0.1466047763824463,SPHINCS+C3 192S
96,48,0.0278933048248291,29702,1.3503620624542236,0.03393959999084473,SPHINCS+C3 192F
128,64,0.7140886783599854,24549,284.61049914360046,0.11665582656860352,SPHINCS+C3 256S
128,64,0.07311701774597168,43420,2.206482410430908,0.03587174415588379,SPHINCS+C3 256F
64,32,0.47112011909484863,5189,184.37194061279297,0.08879661560058594,SPHINCS+C4 128S
64,32,0.01592397689819336,11681,10.015933275222778,0.018455028533935547,SPHINCS+C4 128F
96,48,0.39585280418395996,11797,231.24982833862305,0.13104248046875,SPHINCS+C4 192S
96,48,0.02490091323852539,28196,2.5460939407348633,0.03191256523132324,SPHINCS+C4 192F
128,64,0.6694326400756836,23845,279.84446716308594,0.11327552795410156,SPHINCS+C4 256S
128,64,0.06829667091369629,41890,2.76485538482666,0.033873796463012695,SPHINCS+C4 256F
